stamp,x_cog,y_cog,vx,heading
1760078791.52866,4.79333270654419,-47.2168810284603,0,0.0874902091530569
1760078791.5332,4.79338465588891,-47.2163286584363,0,0.0874962442466125
1760078791.53928,4.79342835700432,-47.2158037097466,0,0.0875025217521634
1760078791.54317,4.79347612365937,-47.2152317690168,0,0.0875069433626987
1760078791.54842,4.79351676805689,-47.2146812466489,0,0.0875121596768103
1760078791.55336,4.79355527777949,-47.2141239703293,0,0.0875177436832367
1760078791.55833,4.79359220009775,-47.2135575915623,0,0.0875218909486761
1760078791.56319,4.79356764681167,-47.2136606526515,0,0.087521131550507
1760078791.56825,4.79354302218746,-47.213763956693,0,0.0875218229068198
1760078791.57365,4.79368238845339,-47.2139696737407,0,0.087505470729682
1760078791.57892,4.79381641968654,-47.2141782243885,0,0.0874868167300114
1760078791.5843,4.79394548738415,-47.2143953797127,0,0.0874689054765913
1760078791.58843,4.79407013564391,-47.2145865005611,0,0.0874533636731158
1760078791.5934,4.79419030564121,-47.2148006781112,0,0.0874383335370891
1760078791.59813,4.79430677392913,-47.2150082836566,0,0.0874212446178167
1760078791.60321,4.79441857997183,-47.215226224825,0,0.0874023962293289
1760078791.60831,4.79452697287385,-47.215440578525,0,0.0873846872583925
1760078791.61316,4.7946810097548,-47.2156982688054,0,0.0873581227839182
1760078791.61821,4.79483095737025,-47.2159660657771,0,0.0873316693675264
1760078791.62403,4.7949764172734,-47.216258532179,0,0.0873051594167296
1760078791.629,4.7951166568691,-47.2165337421899,0,0.087280374857209
1760078791.63376,4.79525261237759,-47.2168069520519,0,0.0872552895492746
1760078791.63891,4.79538474971232,-47.2170887315053,0,0.0872300981918787
1760078791.64335,4.79551380798564,-47.2173532675124,0,0.0872047268581032
1760078791.6482,4.79563940993643,-47.2176247990774,0,0.0871799209646022
1760078791.65323,4.79576065006697,-47.2179020433392,0,0.0871544317114073
1760078791.65829,4.79587876837864,-47.2181728273982,0,0.0871280789439646
1760078791.66623,4.79602763533615,-47.2185850487831,0,0.087106499225409
1760078791.67195,4.79595880424245,-47.218156897419,0,0.0871322384749166
1760078791.67819,4.79588295126402,-47.217740956383,0,0.0871552949562028
1760078791.68341,4.79579880877732,-47.2172943104243,0,0.0871808441578836
1760078791.6933,4.79561297462253,-47.2163731278452,0,0.0872328162478654
1760078791.69904,4.79551110036201,-47.2159252772202,0,0.0872583694193876
1760078791.70408,4.79540419337024,-47.2154530523148,0,0.0872840431445327
1760078791.70829,4.79529523767299,-47.2149485735438,0,0.0873086573704611
1760078791.71318,4.79533308336893,-47.2149591132031,0,0.0873086600617827
1760078791.71812,4.79536565162475,-47.2149766480669,0,0.0873103035620177
1760078791.72379,4.79539286755181,-47.2150166751557,0,0.0873120662170433
1760078791.72899,4.79541466198222,-47.215050372005,0,0.0873130289140872
1760078791.73475,4.79543060328414,-47.2151022267894,0,0.0873140040559411
1760078791.74043,4.79544183975821,-47.2151527124546,0,0.087313023018704
1760078791.74411,4.79545206533406,-47.2151572793277,0,0.0873140108974028
1760078791.74849,4.79545768551196,-47.21518100432,0,0.0873168473723769
1760078791.75314,4.79545866024263,-47.2152078481203,0,0.0873192346550492
1760078791.75819,4.79559941221315,-47.2154230774874,0,0.0873061189675535
1760078791.76315,4.79573494495165,-47.2156420620275,0,0.0872924059958935
1760078791.76822,4.7958658218841,-47.2158666232188,0,0.0872768030524732
1760078791.77729,4.79599144506089,-47.2162018722365,0,0.0872615380280014
1760078791.78144,4.79611142832964,-47.2164116864881,0,0.087249913617308
1760078791.78718,4.79622593490763,-47.2166686023225,0,0.0872392984080689
1760078791.79291,4.79633513498465,-47.2169225803999,0,0.0872263285403077
1760078791.79817,4.79644138724379,-47.2171582002715,0,0.0872110950258058
1760078791.80317,4.7965441423652,-47.2173865763668,0,0.087196751272172
1760078791.80825,4.79669666976445,-47.2176989301124,0,0.0871780086732712
1760078791.81321,4.79684358312949,-47.2180141063099,0,0.0871592520507178
1760078791.81818,4.79698555806408,-47.2183328969108,0,0.0871413686728817
1760078791.82335,4.79712272280504,-47.2186607002701,0,0.0871242395218609
1760078791.82968,4.79725494092325,-47.2190211326796,0,0.0871048794921742
1760078791.83711,4.79737980238872,-47.2194181743473,0,0.0870837581893466
1760078791.84287,4.7975011018432,-47.2197644127153,0,0.0870653630512898
1760078791.84828,4.79761874580242,-47.2200952759531,0,0.0870473801905514
1760078791.85331,4.79773274047128,-47.2204144422535,0,0.0870282947646244
1760078791.85889,4.79784225801422,-47.2207402283059,0,0.0870102077727218
1760078791.86456,4.79794703195032,-47.2210660322531,0,0.0869921214212068
1760078791.87095,4.79820970770231,-47.2212534266446,0,0.0869664255873952
1760078791.87581,4.79846430337824,-47.2214041799946,0,0.0869416429349853
1760078791.88173,4.79838620347599,-47.2207599846793,0,0.0869707208363458
1760078791.88828,4.79830079704951,-47.2201320658473,0,0.0869990432963955
1760078791.89433,4.7982066867706,-47.2194869745561,0,0.0870270671370498
1760078791.90165,4.79810537113622,-47.2188718573112,0,0.087055292870113
1760078791.90732,4.79799702294922,-47.2182080247845,0,0.0870827395865095
1760078791.91305,4.79788184407801,-47.2175378445821,0,0.0871117761575378
1760078791.91817,4.79790701596144,-47.2172663448758,0,0.0871191187418844
1760078791.9235,4.79792679437303,-47.217004891523,0,0.0871240270615988
1760078791.92983,4.79794132852502,-47.2167698932446,0,0.0871288468167548
1760078791.93551,4.79794946381397,-47.2165275704299,0,0.0871319228172685
1760078791.94119,4.79795230339537,-47.2162880672602,0,0.0871391377241101
1760078791.94694,4.79794974790205,-47.2160549497265,0,0.0871463167296373
1760078791.95261,4.79794206221644,-47.2158189171013,0,0.0871518483178998
1760078791.95814,4.7979305103061,-47.2155759492798,0,0.0871560058158705
1760078791.96383,4.79791324640452,-47.215338182486,0,0.0871601302775914
1760078791.96821,4.79789676984152,-47.2150618775581,0,0.0871649134233226
1760078791.97395,4.79787117022741,-47.2148185789362,0,0.0871695107579008
1760078791.97886,4.79784596044167,-47.2145458122575,0,0.0871751662781086
1760078791.98317,4.79792891186376,-47.2147180300229,0,0.0871629321051579
1760078791.98832,4.79800812072545,-47.2149136738631,0,0.0871496657395086
1760078791.99455,4.79808215237764,-47.2151415772884,0,0.0871375112805334
1760078791.99832,4.79815043299376,-47.2153137759624,0,0.0871257709221716
1760078792.00317,4.79821400316292,-47.2155144710334,0,0.087113956548925
1760078792.00814,4.79827305901828,-47.2157174126089,0,0.0871026641244838
1760078792.0132,4.79832707068283,-47.2159251698301,0,0.0870918121901114
1760078792.01821,4.79837744313445,-47.2161274306977,0,0.0870804720391013
1760078792.02328,4.79842323914366,-47.2163318803224,0,0.0870667394901098
1760078792.02925,4.79846314436603,-47.2165537356591,0,0.087053621561645
1760078792.03376,4.79850310429746,-47.2167370115494,0,0.0870440567018104
1760078792.03844,4.79854009197223,-47.2169148845518,0,0.0870346034923713
1760078792.04414,4.79856890309005,-47.2171163259173,0,0.0870256355577122
1760078792.04828,4.79860236413894,-47.2172745224858,0,0.0870147074383247
1760078792.05327,4.79876097714749,-47.2175172181707,0,0.0870009997960471
1760078792.05818,4.79891502820704,-47.2177627536793,0,0.0869853666920016
1760078792.0639,4.79906513467151,-47.2180360884569,0,0.0869716633537204
1760078792.0684,4.79920946503944,-47.2182757752048,0,0.0869598859575265
1760078792.0743,4.79934929136762,-47.2185590938493,0,0.0869474302993656
1760078792.08088,4.79919654058652,-47.2180505753895,0,0.0869829690029444
1760078792.08655,4.79903310059455,-47.2175170777017,0,0.0870167340071023
1760078792.09274,4.79886225181646,-47.2169951978864,0,0.0870517274475531
1760078792.09813,4.79868350252322,-47.2164478290815,0,0.0870899050494179
1760078792.10409,4.79849741639502,-47.2159147187874,0,0.0871261581497667
1760078792.10841,4.79830793286773,-47.2153288754603,0,0.0871632630140583
1760078792.11322,4.79811219023074,-47.2147514786138,0,0.0872010780123305
1760078792.11863,4.79791038017738,-47.2141809665986,0,0.0872363511928859
1760078792.12354,4.7977043520585,-47.2135909313132,0,0.0872721833420246
1760078792.12925,4.79777439416823,-47.2135704380005,0,0.0872746356768942
1760078792.13473,4.79783734596679,-47.2135525206361,0,0.087278011718111
1760078792.1426,4.79789474857072,-47.2135974297073,0,0.0872784026668283
1760078792.14831,4.79794499929387,-47.2135939750886,0,0.0872778948620687
1760078792.15379,4.79798960247742,-47.2135880200292,0,0.0872785833805057
1760078792.15873,4.79803022380423,-47.2135668541017,0,0.0872791347138967
1760078792.16364,4.798065819616,-47.2135460072744,0,0.0872795939787811
1760078792.16838,4.79809822474636,-47.2135155370033,0,0.0872802012476665
1760078792.17331,4.79831301984707,-47.2136342088767,0,0.0872648292274364
1760078792.17871,4.79852383202615,-47.2137699746036,0,0.0872489389652875
1760078792.18323,4.79872924656915,-47.2138883485459,0,0.0872324456583806
1760078792.18838,4.7989310771149,-47.2140246520667,0,0.0872182479377236
1760078792.19414,4.79912783947636,-47.2141812017804,0,0.0872050483737758
1760078792.19831,4.79932146748629,-47.2142993405195,0,0.0871889448873868
1760078792.20334,4.79951055150083,-47.2144380112363,0,0.0871718853887135
1760078792.20893,4.79969527821463,-47.2145873769826,0,0.0871546410358686
1760078792.21324,4.79983199290765,-47.2149399644464,0,0.0871380865813155
1760078792.21843,4.79996576045243,-47.2153199669353,0,0.0871211062006831
1760078792.22432,4.8000945975523,-47.2157261723516,0,0.0871066531785513
1760078792.23062,4.80021768660482,-47.2161484769751,0,0.0870941738627631
1760078792.23797,4.80033375367547,-47.2166077489543,0,0.0870793243550104
1760078792.24332,4.80044586781917,-47.2170098468629,0,0.0870629121653448
1760078792.2482,4.80055485172203,-47.2173953030838,0,0.0870481258995261
1760078792.25358,4.80065856329676,-47.2177965466764,0,0.087034562941096
1760078792.25817,4.80076068707693,-47.2181689420115,0,0.0870204776434222
1760078792.26317,4.80091552876236,-47.2184412365132,0,0.0869974638477445
1760078792.26826,4.80106573899743,-47.2187202230143,0,0.0869745553312515
1760078792.27337,4.8012111783445,-47.219004261583,0,0.0869515060424084
1760078792.2784,4.80102657924709,-47.2184554232433,0,0.0869819553129343
1760078792.28439,4.80083548371199,-47.2179324904654,0,0.0870121949916916
1760078792.28824,4.80063562223431,-47.2173474293035,0,0.0870445214364044
1760078792.29339,4.80042978472195,-47.2167963528825,0,0.0870763672409695
1760078792.29821,4.8002181909524,-47.2162303005968,0,0.087106608135523
1760078792.30319,4.79999997301281,-47.2156639306561,0,0.0871379203873182
1760078792.30823,4.79977646050781,-47.2150908137914,0,0.0871696831646552
1760078792.31326,4.79954684028297,-47.2145121823974,0,0.0872008324350299
1760078792.31821,4.79963585265921,-47.2143658969766,0,0.0872010709025746
1760078792.32323,4.7997192490583,-47.2142259752808,0,0.0872022843725831
1760078792.32891,4.7997975145573,-47.2141034058918,0,0.0872037096612667
1760078792.3334,4.79987029321562,-47.2139575960226,0,0.0872019905918925
1760078792.33841,4.79993839654941,-47.2138242760894,0,0.0871987741827726
1760078792.34414,4.80000126660526,-47.2137127097062,0,0.0871951540234464
1760078792.34834,4.80006288678688,-47.2135624510136,0,0.087195777924632
1760078792.35331,4.80011896854688,-47.2134332753975,0,0.0871959764580957
1760078792.35829,4.80024875241079,-47.2136472128043,0,0.0871862262776199
1760078792.36324,4.80037385032929,-47.2138676757405,0,0.0871779479449985
1760078792.36822,4.80049439706176,-47.2140921495647,0,0.0871697291053791
1760078792.3739,4.80061039582151,-47.2143407044194,0,0.0871614277460284
1760078792.37835,4.80072216526705,-47.2145572639197,0,0.0871536764735021
1760078792.38344,4.80082948070831,-47.2147946817049,0,0.0871482965448725
1760078792.38823,4.80093276789987,-47.2150214029493,0,0.0871421528523703
1760078792.3939,4.80103101724952,-47.2152741520318,0,0.0871334155663453
1760078792.3988,4.80112725389765,-47.2154987177417,0,0.0871247793357098
1760078792.40321,4.80122099878133,-47.2157082811875,0,0.0871173723163287
1760078792.40845,4.80131017938814,-47.215931359788,0,0.0871103925118501
1760078792.41404,4.80142117438653,-47.2162590861334,0,0.0870989162478105
1760078792.41827,4.80152497042253,-47.2165579722161,0,0.0870877284651881
1760078792.42328,4.80162532528748,-47.2168819505398,0,0.0870764639775262
1760078792.4294,4.80172152653815,-47.2172382905741,0,0.0870654019562317
1760078792.4339,4.80181270695907,-47.2175535599919,0,0.0870520110214454
1760078792.43835,4.8019004965683,-47.2178658966493,0,0.0870385605901345
1760078792.44324,4.80198376099649,-47.2181925735285,0,0.0870268103198693
1760078792.44826,4.80206322078348,-47.2185191829923,0,0.0870160536266573
1760078792.45325,4.8021384949955,-47.2188455790784,0,0.0870044998246177
1760078792.45822,4.80221098539322,-47.2191632472549,0,0.0869915545727866
1760078792.46328,4.80227941345642,-47.2194820322009,0,0.0869796878110659
1760078792.46819,4.8023460528311,-47.2197849739343,0,0.086967531404464
1760078792.47386,4.80207539556517,-47.2192957973671,0,0.0870055920942968
1760078792.479,4.80179517687799,-47.2187923712444,0,0.0870444508230565
1760078792.48408,4.801506668635,-47.2182852824985,0,0.0870844281092099
1760078792.48852,4.80121171856796,-47.2177569634983,0,0.0871224385559993
1760078792.49348,4.80090928676981,-47.2172379924059,0,0.0871598673791575
1760078792.49839,4.80060106923172,-47.216711227309,0,0.0871977641516458
1760078792.5032,4.80028643985721,-47.2161782222862,0,0.0872351980789295
1760078792.50822,4.7999660728988,-47.2156420440804,0,0.0872729560013833
1760078792.51346,4.79991677698043,-47.2154884666131,0,0.0872725399051486
1760078792.51813,4.79986017176126,-47.2153293895535,0,0.0872713365452098
1760078792.52382,4.7997970109154,-47.2151960031985,0,0.0872701778680901
1760078792.52858,4.79972817680429,-47.2150465242822,0,0.0872674366924842
1760078792.53376,4.79965302844682,-47.2149105125186,0,0.0872651530438593
1760078792.53828,4.79957397451002,-47.2147639480484,0,0.0872647690744631
1760078792.54346,4.79948781783008,-47.2146315447369,0,0.0872649881342792
1760078792.54825,4.79939846231931,-47.2144863983216,0,0.0872638763201845
1760078792.55324,4.79930316855039,-47.2143465283623,0,0.087263234322558
1760078792.55813,4.79920492326431,-47.2141976168256,0,0.087262493730809
1760078792.56312,4.79910152906838,-47.2140498618004,0,0.0872596874782888
1760078792.56821,4.79918980062226,-47.2141662004353,0,0.0872422350152718
1760078792.57323,4.79927168045043,-47.2142863077886,0,0.087227421025814
1760078792.57837,4.79934741543621,-47.2144114084974,0,0.0872130203856531
1760078792.58327,4.79941770605006,-47.2145341720646,0,0.0871965838501357
1760078792.58827,4.79948320055617,-47.2146592903993,0,0.0871804416167144
1760078792.59334,4.79954337798622,-47.2147880524567,0,0.0871641783147323
1760078792.5982,4.79960002532095,-47.2149102713527,0,0.0871476169647691
